id,ano,populacao masculina,populacao feminina,densidade
108,1950,1079773,117434,86.8637
108,1951,1104544,1198705,88.7571
108,1952,112881,1222726,90.6179
108,1953,1152736,1246363,92.4508
108,1954,1176706,1270051,94.2874
108,1955,1201044,129415,96.1539
108,1956,1225688,131857,98.0446
108,1957,125062,134322,99.9553
108,1958,1275415,1367738,101.8556
108,1959,1300804,1392838,103.8012
108,1960,1327479,1419148,105.8431
108,1961,1362374,1453599,108.5153
108,1962,1398392,1489006,111.2678
108,1963,1429107,1519025,113.6082
108,1964,1471978,1561243,116.8871
108,1965,1514448,1603686,120.1593
108,1966,1552097,1641282,123.0589
108,1967,159294,1681552,126.1847
108,1968,1632156,1720242,129.1868
108,1969,1668382,1756047,131.9626
108,1970,1705319,1792516,134.7913
108,1971,1747773,1834298,138.0374
108,1972,1744277,1834918,137.9266
108,1973,1737879,1833572,137.6281
108,1974,1782142,187789,141.0417
108,1975,1827328,1921905,144.4791
108,1976,1868707,1962181,147.6258
108,1977,1917383,2010045,151.346
108,1978,1973728,2065682,155.6613
108,1979,2023076,211436,159.4388
108,1980,2111101,2201733,166.1979
108,1981,220036,2290384,173.0537
108,1982,2256464,2345807,177.3515
108,1983,2319037,2407469,182.1389
108,1984,2377358,246491,186.5999
108,1985,2430585,2517439,190.6753
108,1986,2477672,2564034,194.2854
108,1987,2535793,2621976,198.7579
108,1988,2592008,2679832,203.1537
108,1989,2642012,2731686,207.0789
108,1990,2696792,2787001,211.3215
108,1991,2752155,2842674,215.6003
108,1992,2826558,2916527,221.3135
108,1993,2731724,2823497,214.074
108,1994,2746542,2839866,215.2759
108,1995,2919888,3012894,228.6236
108,1996,2918157,3012349,228.5359
108,1997,2914369,3009493,228.2798
108,1998,2969875,3065465,232.5757
108,1999,3042158,3138022,238.1572
108,2000,3105481,3202178,243.0697
108,2001,3183686,3282043,249.161
108,2002,3274704,3374234,256.2211
108,2003,3380524,3480322,264.3871
108,2004,3510499,3609998,274.3929
108,2005,3644928,3743946,284.735
108,2006,3779882,3878308,295.1133
108,2007,3923618,4020991,306.1507
108,2008,4090782,4187327,319.0023
108,2009,430673,4402636,335.621
108,2010,4516033,4610572,351.6996
108,2011,4681456,4774277,364.3828
108,2012,4852194,4943284,377.4751
108,2013,5030076,5119502,391.1205
108,2014,5203501,5291412,404.4282
108,2015,531977,5407378,413.3776
108,2016,5407866,5495462,420.1668
108,2017,5534391,5621202,429.888
108,2018,5703612,5789861,442.9084
108,2019,5894278,598056,457.6045
108,2020,6066599,6153627,470.9143
108,2021,6231786,6319427,483.6691
108,2022,6400926,648865,496.7082
108,2023,6575319,666324,510.1564
108,2024,6751373,6840285,523.7633
108,2025,692877,701937,537.5006
108,2026,710762,7200195,551.3609
108,2027,728911,7383902,565.434
108,2028,7473171,7570476,579.7166
108,2029,7659569,7759733,594.1928
108,2030,7848605,7951925,608.8836
108,2031,8040302,8147086,623.7914
108,2032,823474,8345295,638.9224
108,2033,8432567,8547193,654.326
108,2034,8633712,875273,669.9978
108,2035,8837986,8961754,685.9245
108,2036,9044222,9173102,702.0163
108,2037,925236,9386673,718.2671
108,2038,9462998,9603061,734.7229
108,2039,9674964,982114,751.295
108,2040,9887752,10040399,767.9442
108,2041,10101058,10260536,784.6471
108,2042,1031409,10480787,801.344
108,2043,10526532,10700773,818.0079
108,2044,10738672,10920772,834.6606
108,2045,1095019,11140526,851.28
